餐廳名稱,Google Map地址,評分,評論1,評論2,評論3,評論4,評論5,Google Map網址
東引小吃店（推薦深夜美食 牛肉麵 台北宵夜 捷運南京三民站）,105台灣臺北市松山區南京東路五段291巷20弄3-2號,4,"[Dustine Rene Bernasor] (5分, 3 months ago): I discovered this eatery thanks to ChatGPT (asked for recommendations of eateries around the area I was staying) and it did not disappoint. I ordered a large beef noodle soup and it was very good. It came with thick but tender slabs of beef. I also ordered a fried tofu dish which was tasty as well.

They have an English menu. The staff are also very hospitable and assisted me as I made my order.","[Hayato Iwahori] (5分, 4 months ago): I forgot to take some photos of food but they were really awesome! i felt so local and tasty food made me feel in taipei! they open til late night so highly recommend to visit here to have some local food!","[Blessy Chio] (5分, a year ago): They have an English menu. The food I had was tasty. Braised pork rice is so good. Didn’t expect the egg drop wonton soup serving to be so big so I couldn’t finish all of it lol I had to take the beef noodles home because that serving was also big. Good prices. People share tables here so just sit anywhere there’s a vacant seat.","[お小賴] (3分, a year ago): Average taste but price is fairly cheap, hard to find this kind of price is metropolitan city of Taipei.

Hidden inside a traditional market and only open from afternoon to midnight, many people comes here for supper.

Don't come here for quality, you will be disappointed but in return the shop will reward you with quantity.","[Rhod Gallardo] (4分, 2 months ago): Just a 10 min walk from our hotel and its street food all the way. Tasty and budget friendly, google translate the menu and viola! you can now order even if you dont read or speak chinese. This is food 101 taipei experience. Try and enjoy.",https://maps.google.com/?cid=12127930473267135940&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
敘。暖暖｜warm place,105台灣臺北市松山區三民路113巷15號1樓,4.2,"[Kai-Hsiang Chan (Michael)] (4分, 5 years ago): A cozy place for a quick quality set meal, offers free flow hot black coffee, cold milk tea and cold wintermelon tea with every meal ordered. The restaurant hasn't changed much for the last 7 years, still going strong with seats getting filled up quickly upon opening for dinner at 5:30pm. Nothing really stands out, just a warming proper dining experience.","[Melitta Chen] (5分, 5 months ago): The little girl who sitting next to me, dropped rice on my phone and floor. And kept moving
the bench (non-stop). I was hoping her mom would do something about that. Unfortunately, she ignored her daughter’s misbehavior.","[Marcus Shiue] (5分, 5 months ago): Good food, reasonable price, and pet friendly","[Mae Lee] (3分, a year ago): It's a cute restaurant, food is good. But the open kitchen is too close to the dining area, smoke from the grilling/frying really bothers our dining experience.","[Sho Hung] (4分, 9 years ago): Reasonable price for good food, some drinks e.g. coffee, milk tea are all you can drink",https://maps.google.com/?cid=8919542536967552790&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
不葷主義茶餐廳 台北店 (13:30/20:30最後點餐｜僅收現金),105台灣臺北市松山區南京東路三段275號2樓,4.9,"[Lee Iris] (5分, 3 months ago): 不荤主义者 Taipei offers one of the most thoughtfully crafted plant-based dining experiences in the city. It's the Ding Tai Febg Vegetarian/Vegan heaven!

From the moment you walk in, the atmosphere feels calm, warm, and intentionally minimalist! It's perfect for settling into a slow, lingering dinner.

The menu focuses on clean, well-balanced flavors w all nature ingredients, and each dish feels like it’s designed to highlight ingredients at their best. Presentation is elegant without being pretentious, and the portions strike a nice balance between satisfying and not overly filling.

Service is attentive in a low-key, unobtrusive way. Staff are knowledgeable about the dishes and happy to offer suggestions based on your preferences, which adds a personal touch to the meal! Highly recommend this place!!","[Sebahat Ç.] (5分, 3 months ago): I’d visited the Veggienius branch in Taichung before, so when my friends suggested lunch at their Taipei location, I was excited to see how it compared. Making a reservation was incredibly easy, you can book directly through Google in just a few taps.

The restaurant is close to MRT Exit 6, though the entrance is a little easy to miss since you have to go up a flight of stairs. Once you’re inside, the space opens up nicely. It’s roomy, the atmosphere feels calm, and the seating is arranged in a way that gives each table a comfortable amount of privacy.

The food was just as tasty as I remembered, flavorful, well-prepared, and served quickly. The staff were attentive and friendly. The menu is mostly vegetarian with some vegan options; I only wish they offered a few more vegan variations because the dishes they do have are great.

One thing to keep in mind: they’re cash only, so be sure to bring some with you.

P.s. if you write a review, you get a VIP card for future discounts","[Cheng AT] (5分, 4 months ago): GOOD SERVICE 🧡🧡🧡🧡🧡
GREAT FOOD 💛💛💛💛

There was a bit of a messy queue when we arrived from the lift, as I brought my elderly parents to eat. Luckily, my local friend had made a reservation in advance, so we didn’t have to wait.

My plum drink unfortunately had a fly in it when I was almost finished. (●~●)
The staff offered to replace it right away but i rejected because I am full too ^v^.

Overall, they truly serve the best food and provide excellent service to their customers! 🌟

We will be back if we come to 🇹🇼 next time.","[YF] (5分, 3 months ago): Delicious vegetarian dumplings!!!! My favourite is the xiao long bao and guo tie. Thin dumpling skin. Better than most meat dumplings around. It's so easy to be a vegetarian in Taiwan. Abundance of good selections. Love it!
Located on the 2nd floor, you have to take the lift up. The restraunt is bright and toilet is clean. They do have a 90 minute cap per table.
Also, no alcohol is allowed.","[Lj] (5分, 2 months ago): An exceptional dining experience that far exceeded expectations. Compliments to the chef for the thoughtful and creative execution—both 淡淡的幸福 and 口水鸡丝 were beautifully crafted and memorable. The meal concluded on a high note with the Mango Panna Cotta, a delightful and refreshing finish. We thoroughly enjoyed every dish and left feeling truly satisfied.

The experience would be further elevated with a warmer, more welcoming service and slightly dimmer lighting to create a cozier ambience.",https://maps.google.com/?cid=558869356515022290&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
黑馬小廚,105台灣臺北市松山區寶清街71號,4.5,"[Kris] (5分, a year ago): Been here few times, love the place from day one!

Talented chef works with his little brother, recommend to sit at the chef table so you can enjoy the cooking show while having great natural wine.

Authentic dishes at decent price.","[Gyula Weeber] (5分, 2 years ago): I recently had the pleasure of dining at Heyma 黑馬小廚  in Taipei, and I can't express how exceptional the experience was. The homemade pasta, particularly the carbonara, is an absolute delight and easily the best I've had in the city. The “pasta alla genovese” transported me back to the nostalgic days of childhood, reminiscent of my mother's authentic cooking. Heyma is a true gem, offering not just a meal but a heartfelt journey through culinary excellence. Highly recommend for anyone seeking an unforgettable dining experience!

The moment I tasted the Beef ragu I felt like the lovely scene in Ratatouille 😍","[3億人點閱Google專家-AIBI] (4分, 2 years ago): Very cute Bistro-Heyma ,We waited in line just to get a bite of the mouth-watering pasta’s!near Nanking San min station about 10min","[Cindy Wong] (1分, a year ago): Saw IG post and food looks ok so purposely went over after peak hours at lunch.  There were only 4 customers when I arrived, but staff claimed that all other seats were reserved, including bar counters, and rejected my entry. I then sat at a cafe just across the alley overlooking them. After 30 min, no new customers came and yet 2 left. The restaurant was basically empty with only 2 finishing customers. When the lunch hour period was almost over, only 2 more new customers went in.
This restaurant , I guess, is just opened for fun but not for business. They are not welcoming customers and do not want the place to be too busy. They can only manage 4 customers at a time.","[Zach Chen] (4分, a year ago): Good",https://maps.google.com/?cid=9270055931471777214&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
有間小館,105台灣臺北市松山區寶清街26號,4.5,"[Justin Wang] (4分, 3 months ago): Probably the best Chinese restaurant in the neighborhood. Good taste of all dishes.","[Wei-Shien, January Chang] (5分, 7 years ago): Good options and great food. The restaurant provides some ordinary homemade style cuisines with extraordinary flavors.","[J T-C] (5分, 7 years ago): I came in wanting some fish for this is my last day in Taipei and I had not had a good fish yet during this trip. My fish came and was delicious. A surprise to me, the owner gave me a plate of just stir fried vegetable free of charge, because he thought a meal with just fish was not balanced. People in Taiwan are so nice. I will definitely come again next time.","[Brendan YU] (5分, 6 years ago): gooood food with warm service","[Dennis Waynie] (1分, 4 years ago): Terrible just terrible food",https://maps.google.com/?cid=1533131562328904252&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
肉執事台北松山門市,105057台灣臺北市松山區市民大道六段135號,4.6,"[Apriandy Angdresey] (5分, 5 months ago): A fun yakiniku spot where you get your own grill at the table. The most interesting things is of course the small shuttle bus that speeds by carrying your order, it’s entertaining to watch. Staff were super nice and welcoming, which made the vibe even better. However, the downside is that the food takes a while to arrive.","[EmmaN CrisAnto] (5分, 6 months ago): It is my first time to try this kind of dining experience 🥰 very unique yakiniku restaurant with your own table for bbq and your orders will come with a little shuttle bus from their conveyor belt 😍😍😍 very cool and the food was also great 😋
Their service is good and i will come back here next time 👍👍👍","[B W] (5分, 9 months ago): This is a pretty cool spot in Songshan District if you’re craving for some bbq. They’re not all you can eat, but just order more meat if it’s not enough because their pricing is pretty good for bbq. I got the 美國安格斯板腱牛/美國安格斯翼板牛 combo set with rice and side dishes included for $489 and I was satisfy with it. Don’t come here and expect top tier quality meat, but the price you pay is good enough for what you get. The employee’s was also very helpful as well. I’ll definitely come back next time.","[Jack Lim] (3分, 9 months ago): Walked in… and it was crickets. No one greeted us — no “hello,” not even a nod. After a minute, we tried walking in a bit. That finally triggered someone to say, “Please wait at the counter.” So we waited… for over 5 minutes… while 90% of the seats were still empty.
(We were first-time visitors, by the way.)

While waiting, we noticed a bunch of lockers and thought, “Maybe we’re supposed to put our bags there?”
We opened one — oops, someone’s bag was inside. We closed it immediately.
Two minutes later, a staff member came out from the kitchen and told us not to touch their personal lockers.
To be fair… how would anyone know? No lock, no sign, and they’re sitting right next to the public waiting area like part of the furniture. Honest mistake! 😅

🤖 After ordering, our food arrived via auto-cart — very cool and futuristic!
But then… nothing. No explanation, no one checked on us. Maybe that’s the point of the robot delivery.
Luckily, there were some instructions written near the seat — but only in Mandarin. Good thing I could read it!
It quickly turned into a “mystery grill challenge” — we had to figure out how to cook everything, locate the spoons and chopsticks, and grab our own utensils.
(My friend cranked the heat too high and torched his meat. That crispy beef became the highlight of the night.)

🔥 Thankfully, the ingredients were fresh and the meat quality was decent. Once we figured things out, it was actually quite fun — but you definitely have to take the lead.

💰 Prices were reasonable, and the overall experience felt more like an interactive food mission than a restaurant meal.
Just don’t expect attentive service — you’re the chef, the server, and the grill master here. 😄","[Albert Yau] (5分, 2 years ago): Yakiniku with a modern twist. A mini train capsule transports your dish directly to your table. A mini grill for a single person seating. Portion can be selected thru the ordering app. Meat quality is normal. Chicken soup is hearty.",https://maps.google.com/?cid=305381866266746063&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
萬芳冰室 南京店｜茶餐廳｜南京三民美食推薦,105台灣臺北市松山區南京東路五段66巷16號,4.1,"[John Lim] (5分, 6 months ago): This is a truly authentic Hong Kong-style restaurant, and it ranks in my top three Hong Kong-style restaurants.
The Hong Kong-style milk tea is rich, smooth, and comes in a generous portion.
The salted fish and diced chicken fried rice is aromatic, full of wok hei, and absolutely delicious. Prices are reasonable, making it well worth recommending!","[JOY CHEN] (4分, 3 years ago): good service and of course food is good. Nice they keep the building and interior design as original and Hong Kong style. Can't travel to HK but can enjoy Hong Kong food. The sandwich and radish cake are good 👍","[Sophia Shih] (3分, 3 years ago): I ordered curry seafood ball, beef chow fun, HK milk tea and ham toast. The milk tea was authentic and smooth. I liked that the sugar was not added, which can be adjusted by ourselves. Others were not bad.","[Miyan Miyan] (4分, 2 years ago): Really authentic in comparison with the HK taste of food. I find many so called hong kong style restaurants in taiwan with food that tastes different, so this one is a nice find if you want authenticity.  A bit pricey but I’d definitely go back again!","[Carmen Lo] (2分, 7 years ago): A so called ""Hong Kong style tea house"",  good HK style milk tea, but the pineapple bun with butter is not up to standard. The pineapple bun is small and not soft, in addition, not crispy topping, think butter but cost TWD60. A bit pricey compare with HK.",https://maps.google.com/?cid=10489111024413235048&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
阿東師,105台灣臺北市松山區市民大道五段173號,4.4,"[Daniel Santoso] (5分, a year ago): Great omakase. all ingredients are fresh and served well. the sea urchins (Uni) in this place is so good. It has a slight briny taste only. it tastes slightly sweet savory flavor with buttery texture.

the portion of their nigiri is not too big, but the fish slices are bigger than the normal portion of nigiri.

since I love savory and salty food, I like all of the menus that are grilled. it is served hot and the fat is so smooth and melt immediately in your mouth.","[Wei-Shien, January Chang] (4分, 6 years ago): 💫tl;dr - The fish quality is extremely good and the nigiri is well made. It is indeed a worthy try.

🌟Revisit: Yes!

⭐️⭐️⭐️⭐️⭐️⭐️
Food: Really impressed by the fish quality and the skill set of slicing and “wrapping” nigiri. Personally I have tasted many Japanese restaurants before, however only a few of them can produce such firm and well wrapped nigiris. The texture and taste are really something amazing. It is worth trying.

⭐️⭐️⭐️⭐️
Prices: I chose NT$1,000 set today. The place offers 3 sets- NT$800, NT$1,000 and NT$1,500. NT$1,500 is only reserved only. Set price equal and above NT$1,000 would present with oyster.
NT$1,000 set served 12 dishes not including the free self-served miso soup. Uni nigiri and salmon sashimi were the most impressive dishes. Though the portion was not big and just about 70-80% fullness after the meal it was overall pretty satisfactory.

⭐️⭐️⭐️
Environment: It is like a street food setup, a “stall” next to the expressway. Therefore it could be a bit noisy and the air pollution could be bothering. Also if the weather is not good it could be quite uncomfortable. Cool day w/o rain would be the most suitable day to visit.

⭐️⭐️⭐️
Location: It’s situated next to the viaduct and by the pedestrian. No major public transportation can reach. It would take about 10mins walk from the nearby bus station. The easiest way would be riding scooter and parking in the lanes.

⭐️⭐️⭐️⭐️
Others: The staff was quite friendly and helpful. The chef was really concentrating and professional at making the nigiris. In terms of the fish quality and the cooking skills I would give out 5 stars w/o hesitation yet the environment and service could be relatively simple and even a bit crude therefore 1 star was deducted.","[First Last] (3分, 8 years ago): I feel conflict about this ""restaurant"". The quality is great, but not the quantity or price.
It's a market stall, so no AC, but lots of fans.
It was $800 for a set, no other options, soup is free, beer is $150 per glass.
At this price I can dine at all you can eat Japanese restaurants that has AC and decor.
It's hard to recommend this stall mainly because of the price.","[Foodie Attorney] (3分, a year ago): The quality of food in this omakase sushi restaurant was good, which should be expected because of the relatively high price  ($2,500 NTD per person). Unfortunately though, it was one of the worst omakase experiences I’ve ever had due to the chef’s unwelcoming behaviour.

Customer service is paramount in omakase. After all, “omakase” directly translates to a customer putting themselves in the host’s care. Unfortunately, customer service is where this restaurant falls well below standards.

I’ve dined in dozens of omakase sushi restaurants in Japan and in my home country, from relatively affordable to Michelin Star standouts. Chefs typically fall into two categories in terms of personality: chatty and personable or quietly focused. At this restaurant, I experienced something unpleasant and unexpected — a Japanese sushi chef/owner who was constantly conversing, drinking, and joking with one half of the customers (in Mandarin), while completely ignoring the other half. Despite being conversationally proficient in Japanese, the owner only spoke with my wife and I to introduce each fish in Japanese. Since there were only five customers in total, the chef’s behaviour left my wife and I feeling alienated and unwelcome. At best, this behaviour can be seen as poor customer service. At worst, it can be perceived as unintentionally, or perhaps intentionally, being rude.

On a more positive note, the quality of fish was generally high. The fish contrasted nicely with the well seasoned and warm vinegared rice. Some of the nigiri garnishes (e.g. yuzu kosho and pickled shallots) were interesting as well. The quality of the kaiseki dishes was also generally remarkable.

To summarize — If you value customer service at all as part of your omakase experience, which you should if you’re paying $2,500 NTD per person, I can’t recommend this restaurant at all.","[Blair Ho] (5分, 2 years ago): Japan quality! It was even better than the one I had in Tokyo last time. Must go In Taipei!",https://maps.google.com/?cid=3241053936306859872&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
虎笑麵屋 無訂位服務,105台灣臺北市松山區三民路113巷18號5樓,4.4,"[Janine] (5分, 6 months ago): Food was great! Glad to try this place as an alternative to other chain restaurants available. Really enjoyed this meal.","[C] (3分, 6 years ago): This place was clean and neat. The menu was written on the blackboard. There were only 3 sets with some side dishes. Each set came with a bowl of noodle and soup. You also get half of hard boiled egg with marinated cucumbers and ice tea. The portion was decent but it was a bit pricy. The “beef” set that I got was 250NT. It was decent but not the best. The noodles were tasty but the broth was too oily. I feel like if the set was under 200 it would’ve been more reasonable. Taste-wise it was not worth 250NT. It’s ok to try this place out but I’d be hesitant to come back again.","[Jeff Tan] (5分, 4 years ago): Quite an enjoyable experience. Only a few selection of noodles but taste was great. Portion size was fair for the price.

Service was good and friendly, restaurant size is not so big, and we were politely asked if we could move to a smaller table so they could accommodate a larger group which we had no problems with.","[Eli Chen] (5分, 4 months ago): different, but amazingly good! noodles are perfect separated. soup is delicious. top tier quality - the creators of this place are true artists","[-T- H] (5分, a year ago): Damn.
These food recommended are actually quite nice. Very authentic taste of taiwan.
So delicious. Must try! 😉",https://maps.google.com/?cid=5547900480800493540&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
合居酒屋,105台灣臺北市松山區新東街6巷4號,4.7,"[Grace C] (5分, 6 months ago): Happy birthday! Great place, food and drinks, for relaxing after an exhausted day!","[Pauline Lin] (5分, 7 months ago): He Izakaya offers nice foods and drinks, you could feel relax like home. Fantastic atmosphere and staffs made you return again and again. Why not give a chance to visit to this warm restaurant in Taipei!","[WenHua 文華 Chao] (2分, 2 years ago): Upset with the sashimi when we came to the 2nd time.","[評論家] (5分, 3 years ago): Good","[Thibault Back de Surany] (5分, 7 months ago): Amazing neighborhood Izakaya",https://maps.google.com/?cid=6200242293987817353&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
大師廚館,105台灣臺北市松山區民生東路五段258號,4.3,"[Marionette Mored] (5分, 2 years ago): I’ve been here for countless times since I was a little kid. Chefs are really nice, and the food is just ✨astonishing✨
A really great place for family gatherings","[C Rabbit] (5分, a year ago): The food was quite delicious and reasonably priced, but it seemed the restaurant was understaffed, so serving food and ordering dishes was relatively slow.

Also, I suggest the restaurant add a hook in the restroom; it's quite inconvenient to take off your coat without a place to hang it.","[Allen Chien] (4分, a year ago): One of the oldest restaurants in the Minsheng community, this shop has moved from its original alleyway location to a main street location, but the craftsmanship remains unchanged, mainly serving home-style dishes.

The stir-fries are all common dishes; we ordered leafy greens, shredded pork with shredded vegetables, three-cup chicken leg, and sweet and sour pork ribs.

The stir-fried cabbage and water spinach were cooked to perfection, making them good choices for leafy greens. Personally, I found the shredded pork with shredded vegetables too salty, even with rice; the sweet and sour pork ribs were quite good, with a pleasant sweet and sour flavor; the clams weren't overcooked, with just the right amount of freshness; the three-cup chicken leg was essentially frog legs cooked in three cups, similar to chicken; the Hakka stir-fry was a bit of a disappointment, too salty, which didn't feel like Hakka cuisine. The tofu casserole and water bamboo shoots were average.

Overall, the dining environment is very nice, but the ordering process is quite slow. There's a wide selection of dishes, allowing you to choose your favorite home-style dishes.","[Je ming 振銘] (5分, 2 years ago): Free tea is provided. The vinegar-flavored sea fish is incredibly crispy, with a satisfying crunch when you bite into it. It's very fragrant and has a very unique texture; it's the first time I've had this kind of cooking method, and I highly recommend it. The eggplant and sausage dish features very tender and fresh large intestines.","[Chen Esther] (5分, 3 weeks ago): The dishes were authentic, but I prefer lighter flavors, so I found the taste a bit strong, but it was still delicious 😋 The owner was very nice, and the bento boxes were also tasty :)",https://maps.google.com/?cid=10830334049064350056&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
絕好調 和食海鮮酒場,105台灣臺北市松山區吉祥路61號,4.6,"[MR Lee] (5分, 3 years ago): Took my mom and auntie here for a quick lunch. The value of the lunch set and freshness of seafood were exceptional.  We had 烤海鱸魚肚 & 花鯧，it came with 4 dishes of appetizers and soup; plus dessert. Definitely recommend to take both desserts if you have the stomach 😋😋; cheesy mochi and brown sugar tofu bean curd. I heard the price is higher for dinner, but judging by the quality of lunch set, I will definitely give it a try.","[Johnny_NY] (5分, a year ago): The best part of the dining experience was about its service.  The waitress was outstanding, genuine in providing best food & service possible.  The cashier(maybe the manager) was also very friendly.  The food was delicious, although some dishes were sold out already.  Overall, it was a great experience and a place for small gatherings.","[Phil C.] (4分, 3 years ago): I am giving it four point three out of five.
This was my second time visiting the restaurant. The restaurant maintains a very good quality of their food and service.
Among the items I ordered this time, I want to recommend deep fried chicken cartilage, and beef tongue stew. The crunchy texture of and the spices on the cartilage make it a perfect match with the draft beer. And when you start feel thirsty for having deep fried stuffs, the beef tongue stew came served to ease your thirst.
There was one thing very interesting. I found there were five rolls of toilet paper in the toilet. I think the owner must need strong sense of security when having nature calls.","[D] (2分, 3 years ago): Just a ordinary restaurant with unknown cuisine.  Some fancy skills as you can tell from the photos.   Not an izakaya restaurant.   Not a Taiwanese restaurant.  Owner's innovation or homemade omakase.   Just crunch your hunger 😂.","[M. Morgan] (5分, 4 years ago): Very tasty, unfortunately also a bit pricy. But as the taste is really special, the overall cp ratio is still very high!

Highly recommended!",https://maps.google.com/?cid=8069801116236662007&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
富錦樹台菜香檳 敦北店,10548台灣臺北市松山區敦化北路199巷17號1樓,4.2,"[Welly Lee] (4分, 3 months ago): We tried several dishes here and overall had a delicious experience.

• 🦪 Stir-fry oyster with Chinese doughnut: Easily the highlight of the meal. The oysters were fresh and perfectly cooked, and the pairing with the crispy doughnut was brilliant — the textures and flavors worked beautifully together.
• 🌿 Cordia and white water vegetable: Slightly crunchy with a touch of sweetness, making it refreshing and light.
• 🐖 Pork neck with squid and stinky tofu: Flavor was good, but the pork neck pieces were cut a bit large, so they came out a little chewy.
• 🥭 Green mango dessert: Pickled green mango served over shaved ice. Unless you’re a big fan of green mango, this one may be worth skipping.

⚠️ Note: The restaurant has a NT$1000 per person minimum, so be prepared to order above that amount for your table.","[Scott Nguyễn] (1分, 4 weeks ago): Worst meal we had in Taiwan. The food was either so salty (oyster & pork), or bland and fatty/oily (dongfa pork). We couldn’t even finish and decided to give up more than half and ran to Raohe night market right after.

The service was extremely subpar. We were given a table next to the bathroom, despite there were so many other tables available. The staff spoke very little English and didn’t even try to communicate. We asked for sparkling water, cold but without ice - was given lukewarm sparkling water lol.

We ate a 1-Michelin star Chuan Ya the previous night, they tried their best to explain the dishes to u. Here, they just drop the food on our table and run away?!?!?

What ashame. Not at all deserving of the star.","[Matthew Tao] (5分, 2 months ago): This was my first time at Fujin and I’ve only heard about it through the Michelin guide! Wanted to try a Michelin star restaurant without breaking the bank. I’m from America and we ordered the 4 set menu and added a lychee pork to offset the (1,000 TPE) per person.

I have to say the experience here was amazing! The food was soo delicious and super light and easy on the stomach yet providing such richness in flavor and pairing that has been amazing for my friends and I.

Lilly was an AMAZING server who went out of the way to make us feel welcomed, appreciated and cared for. She gave us outstanding service and truly went out of her way to make us have the best experience at this restaurant!

Overall, this meal is a thoughtful dialogue between past and present. It doesn’t try to reinvent Taiwanese cuisine it refines it. Every dish feels rooted in memory, yet polished with contemporary technique and balance. A truly memorable experience that shows how tradition can evolve without losing its soul. I can’t wait to come back and bring others here as well!","[edwin Ilagan] (4分, 2 months ago): We came here to celebrate our wedding anniversary. And it did not disappoint. The food was great. We especially liked the braised tenderloin beef, sweet and sour pork with lychee and the braised dongpo pork. The braised beef tenderloin and the braised dongpo pork are new and yet they taste familiar. The braised beef reminds me of the beef pares I had in Manila. The braised dongpo pork, on the other hand, reminds me of pork humba. All in all, they served us the best Taiwanese food we’ve had. The desserts, on the other hand, were not good. We had the sweet peanuts and almond tofu and none of them were delicious. It’s such a shame because all the other food we ordered were great. Even the guava juice is refreshing. It balances out all the richness of the food we ordered.","[Critsy Y] (5分, 3 months ago): There are a few Fujin Tree locations - at least two in Taipei from what I can tell - but this is the one that actually holds the Michelin star. Some people assume all branches automatically share the accolade, but that’s definitely not how it works. I’ll review the Taipei 101 location separately.

We arrived and were seated right away after the hostess checked the book. The vibe is modern, clean, and casually chic. Service was on point — well-trained team, attentive without and friendly. They started us with a little amuse bouche of watermelon radish that woke up our appetites. We ordered the minced pork with chives, century eggs & peppers, boiled chicken with sauce, the braised Dongpo pork with candied dates, and the Pu’er Tea sweet dumplings for dessert. Everything was genuinely delicious. When the Dongpo pork came out, the server actually paused to let me get my photo, then took it back to the kitchen to have it cut.

Thoughtful touches like that go a long way. This location truly earns its star. I can’t say the same for their other one. I’d happily come back and would recommend this branch without hesitation.",https://maps.google.com/?cid=3003417228471343413&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
YAYOI彌生軒 南京三民店,105台灣臺北市松山區南京東路五段92.94.96號1樓,4,"[Joe Chen] (4分, 6 months ago): Japanese comfort food
90 minutes dinning time
Grilled eels are not cooked ( roasted) from scratch","[Lorraine Frederica] (4分, 2 years ago): The food is really delicious and worth the price point, considering the location. They are located within walking distance from an MRT station, makes it very easy to visit. The only downside is the poor employee, who was incredibly helpful and friendly, but she definitely deserve a raise. She was alone during my visit and she was the waitress, cashier, greeter all at once. She was extremely busy and had to run to accommodate every customer. Poor management.","[Will Chiou] (3分, 5 years ago): Interesting place. Each table has a tablet where you can browse the menu and place orders. You can also track the progress of your order as well. Overall I felt like this place is overpriced. The presentation is nice but portion is small.","[Benjamin Wu] (4分, 7 years ago): Portions are not great, but decent standard for Japanese comfort cuisine with an affordable pricing strategy. Of course you are also paying for the ambiance which is clean and tidy.","[劉廷軒] (5分, 2 years ago): Japanese chain store opens in Taiwan which tasted authentic, with rice, soup, cabbage unlimited supply for free",https://maps.google.com/?cid=15693159383636389524&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
夏綠沁私房義大利麵燉飯,105台灣臺北市松山區敦化北路244巷37號,4.8,"[Lizzie S] (4分, 4 months ago): A small and cute pasta shop with a cozy vibe. I had the seafood pasta — the seasoning was just right, and I really enjoyed the crunchiness of the vegetables and the freshness of the seafood. A lovely spot for a small gathering or casual meal.","[Patrick Selvan] (5分, a year ago): If there was a 10, I would give this lovely place that score.  I was super tired after travelling and wanted to have a good meal and sleep. Wanted to have the Risotto for some strange reason and saw the review for this place.  Food is fantastic, ambience was very cosy and music very soothing.  It was my lucky day and met David who is the owner and Fei Fei who’s the head chef.  I had the spicy beef risotto with peppercorn that was served Szechuan style, the pumpkin soup with bits of bacon, the cranberry cocktail and caramel pudding what was literally super awesome. Definitely recommend to anyone who is here in Downtown Taipei area.

Came back the second time on Boxing Day and it was even better. I had the 13 Flavoured Rib Eye Risotto and the Transparent Beauty Cocktail(did not have a description but it had Rum I think). Very crowded during lunch which speaks volumes for the quality and taste of the food 🤗","[Melanie Hua] (4分, 2 years ago): This small eatery is located a crossed from a community park in the midst of various options of food.  The place is clean and filled with adorable cat decor.  The waitress was welcoming and explained the menu to us clearly (in Mandarin).

I ordered the house special pasta and it was delicious.  The spice was good and not overwhelming.  The presentation was excellent with big portions.  You get free drink or soup if you order the main entree before 11:20am!

The caramel latte was good that came in a cute cat handle!  But I wish the cup was bigger.

Lastly, it is cash only and serving utensils and water are all self-service!","[Jie-Ting Jiang] (5分, 3 years ago): Excellent creative cuisines and super friendly staffs. The dining area and the kitchen are both super tidy. Everything’s well arranged. Such an amazing restaurant. Great dining experience. Highly recommend.","[Frank Chen] (5分, 6 years ago): Excellent food and service. The atmosphere is just amazing and relaxing. Really appreciate the owner and her staff!",https://maps.google.com/?cid=7240582083609331686&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
